text,label
I am so happy about the results!,joy
This news made my day.,joy
I cannot stop smiling after that message.,joy
What a wonderful surprise this morning.,joy
I feel really down today.,sadness
Everything feels heavy and hopeless.,sadness
I miss my old friends a lot.,sadness
This rainy day matches my mood.,sadness
I am angry about how unfair this is.,anger
This comment is so annoying.,anger
I am furious that they ignored the warning.,anger
That decision made everyone upset.,anger
I am worried something bad will happen.,fear
That situation honestly scares me.,fear
I feel nervous before the interview.,fear
The dark street made me uncomfortable.,fear
"Wow, I did not see that coming!",surprise
That ending was totally unexpected.,surprise
I was shocked by the final announcement.,surprise
What a surprising twist in the story!,surprise
I went to class and came back home.,neutral
The meeting starts at 10 a.m.,neutral
I finished my homework and made tea.,neutral
The bus arrived a few minutes late.,neutral
